DataDate,PrdCode,AcctIDByMXZ,SecurityID,Direction,Qty
20200709,10,10_f_xb_3670,IC2007,short,21
20200709,10,10_f_xb_3670,IC2009,short,57
20200709,1202,1202_f_hy_2555,IC2008,short,5
20200709,1202,1202_f_hy_2555,IC2009,short,7
20200709,1202,1202_f_xb_3032,IC2009,short,6
20200709,1203,1203_f_huat_5169,IC2008,long,1
20200709,1203,1203_f_huat_5169,IC2009,short,0
20200709,1203,1203_f_huat_5169,IC2009,long,0
20200709,1205,1205_f_huat_2706,IC2007,long,1
20200709,1206,1206_f_ya_1665,IC2007,long,2
20200709,1207,1207_f_ya_1008,IC2008,short,0
20200709,1207,1207_f_ya_1008,IC2009,short,46
20200709,1211,1211_f_zygj_5391,IC2008,short,48
20200709,1211,1211_f_zygj_5391,IC2009,short,48
20200709,7022,7022_f_yh_0021,IC2007,long,7
20200709,7022,7022_f_yh_0021,IC2008,long,3
20200709,702,702_f_yh_0019,IC2007,long,4
20200709,704,704_f_huat_0402,IC2008,short,8
20200709,704,704_f_huat_0402,IC2009,short,15
20200709,705,705_f_yh_1888,IC2007,long,10
20200709,7072,7072_f_yh_0789,IC2007,long,10
20200709,707,707_f_nh_5968,IC2007,long,13
20200709,708,708_f_yh_0024,IC2008,short,0
20200709,708,708_f_yh_0024,IC2009,short,13
20200709,711,711_f_yh_2108,IC2007,long,4
20200709,7121,7121_f_yh_2266,IC2007,long,10
20200709,715,715_f_nh_5971,IC2007,long,21
20200709,905,905_f_huat_2312,IC2009,short,14
20200709,905,905_f_huat_2312,IC2008,short,8
20200709,906,906_f_gtja_0378,IC2009,short,9
20200709,908,908_f_huat_2827,IC2009,short,9
20200709,908,908_f_huat_2827,IC2008,short,7
20200709,913,913_f_gy_9906,IC2009,short,82
20200709,914,914_f_huat_3293,IC2008,short,0
20200709,914,914_f_huat_3293,IC2009,short,19
20200709,917,917_f_zc_0103,IC2008,long,0
20200709,917,917_f_zc_0103,IC2009,short,14
20200709,918,918_f_huat_2879,IC2008,short,0
20200709,918,918_f_huat_2879,IC2009,short,179
20200709,919,919_f_ya_9057,IC2008,short,0
20200709,919,919_f_ya_9057,IC2009,short,56
20200709,920,920_f_huat_2997,IC2008,short,3
20200709,920,920_f_huat_2997,IC2009,short,7
20200709,920,920_f_huat_2997,IC2009,long,1
20200709,921,921_f_sw_0778,IC2008,short,0
20200709,921,921_f_sw_0778,IC2009,short,12
20200709,922,922_f_gtja_0567,IC2008,short,0
20200709,922,922_f_gtja_0567,IC2009,short,13
20200709,929,929_f_zx_0168,IC2007,long,1
20200709,930,930_f_xy_0810,IC2008,short,0
20200709,930,930_f_xy_0810,IC2009,short,44
