产品编号,产品,新股代码,发行价,中签数量,锁定数量,计划卖出数量,计划交易日期,上市日期
10,南京银行鸣石量化十号私募证券投资基金,300888,74.3,1001,0,1001,20200917,20200917
10,南京银行鸣石量化十号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
10,南京银行鸣石量化十号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
603,鸣石春天三号私募证券投资基金,300888,74.3,1119,0,1119,20200917,20200917
603,鸣石春天三号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
603,鸣石春天三号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
608,汇鸿鸣石500指数增强春天八号私募证券投资基金,300888,74.3,942,0,942,20200917,20200917
608,汇鸿鸣石500指数增强春天八号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
608,汇鸿鸣石500指数增强春天八号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
612,鸣石春天十二号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
612,鸣石春天十二号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
613,鸣石春天十三号私募投资基金,300888,74.3,1177,0,1177,20200917,20200917
613,鸣石春天十三号私募投资基金,300890,14.69,2147,215,1932,20200917,20200917
613,鸣石春天十三号私募投资基金,300891,3.64,5613,562,5051,20200917,20200917
619,鸣石春天19号私募证券投资基金,300888,74.3,707,707,0,20200917,20200917
619,鸣石春天19号私募证券投资基金,300890,14.69,1664,167,1497,20200917,20200917
619,鸣石春天19号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
715,信淮鸣石傲华15号私募证券投资基金,300888,74.3,1766,0,1766,20200917,20200917
715,信淮鸣石傲华15号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
715,信淮鸣石傲华15号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
805,鸣石宽墨五号私募证券投资基金,300888,74.3,1060,0,1060,20200917,20200917
807,鸣石宽墨七号私募证券投资基金,300888,74.3,1413,0,1413,20200917,20200917
807,鸣石宽墨七号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
807,鸣石宽墨七号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
913,鸣石量化十三号私募证券投资基金,300888,74.3,2001,0,2001,20200917,20200917
913,鸣石量化十三号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
913,鸣石量化十三号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
918,素养鸣石量化18号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
918,素养鸣石量化18号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
1102,鸣石金选二号私募证券投资基金,300888,74.3,1001,0,1001,20200917,20200917
1102,鸣石金选二号私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
1102,鸣石金选二号私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
3004,上海鸣石投资管理有限公司-满天星四号私募投资基金,300888,74.3,5944,0,5944,20200917,20200917
3004,上海鸣石投资管理有限公司-满天星四号私募投资基金,300891,3.64,5613,562,5051,20200917,20200917
6272,鸣石春天二十七号二期私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
6272,鸣石春天二十七号二期私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
11022,鸣石金选二号二期私募证券投资基金,300888,74.3,1119,0,1119,20200917,20200917
11022,鸣石金选二号二期私募证券投资基金,300890,14.69,2147,215,1932,20200917,20200917
11022,鸣石金选二号二期私募证券投资基金,300891,3.64,5613,562,5051,20200917,20200917
